real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
0,1,2.5,3.0462,3.72362,0.646695,2.35689,2.22087,3.59309,2.85843,2.97204,6.26899
1,1,2.5,0.798067,5.27518,2.93841,5.15575,0.487634,1.94193,0.602914,10.5952,4.85028
2,1,2.5,4.34737,0.866364,8.36513,1.91886,2.54114,8.1266,2.00587,0.832951,0.954097
3,1,2.5,4.18243,0.636173,1.4828,6.85499,22.2073,0.415166,1.86669,1.78142,11.9241
4,1,2.5,3.79603,1.39876,2.78787,10.3621,3.82947,1.89905,1.3288,3.80856,24.1665
5,1,2.5,1.19462,14.1718,9.63069,17.8532,4.72174,8.78983,0.311091,5.36024,1.09303
6,1,2.5,2.23991,1.07944,1.55152,1.48014,4.80721,0.633904,1.7473,4.35348,9.46331
7,1,2.5,22.7606,1.18942,0.704511,1.73108,9.59626,6.89327,1.97165,1.12227,0.713232
8,1,2.5,1.38748,0.805593,4.3751,6.85151,10.5214,14.7126,3.61357,0.692175,1.41362
9,1,2.5,2.87404,2.44206,1.74236,1.88041,4.07248,1.17538,10.3779,3.15336,2.91778
10,1,2.5,2.28592,1.08373,2.1719,0.975712,25.0,1.73693,5.22321,1.95472,0.263381
11,1,2.5,1.71033,1.86924,1.62557,1.50739,1.14859,1.52617,3.19141,0.585834,1.64919
12,1,2.5,0.831104,1.47871,3.44455,4.6202,1.60725,4.63861,6.87099,1.2911,0.31017
13,1,2.5,2.27122,2.51585,1.02485,1.30435,2.79153,2.95661,1.01948,10.2702,2.71231
14,1,2.5,1.26986,1.0937,3.97428,0.697591,19.5341,12.0178,2.15594,1.23383,10.6453
15,1,2.5,6.98171,13.9116,0.626965,3.35845,10.3799,0.751229,0.250155,0.849574,2.24798
16,1,2.5,3.77875,5.59989,1.3413,1.65689,2.59744,2.39213,0.284246,3.17438,0.951506
17,1,2.5,6.00256,0.670778,6.18526,15.961,0.270478,1.8057,2.58362,2.09164,1.84042
18,1,2.5,1.50815,4.48658,0.615666,7.63684,8.42802,19.2422,0.922897,9.37378,2.69981
19,1,2.5,0.69126,3.25335,25.0,1.18957,5.47249,20.6234,3.73799,8.43854,12.793
20,1,2.5,3.29413,9.79801,0.483462,5.42325,2.93525,18.996,22.4455,2.64618,0.978643
21,1,2.5,1.15487,1.36874,1.34653,2.80921,1.85498,6.73989,3.27022,1.95335,5.08825
22,1,2.5,8.32021,3.75176,1.23467,1.03492,5.74969,2.76321,1.64984,0.67599,2.3444
23,1,2.5,0.705822,5.23772,1.33572,3.7568,2.97906,4.49251,7.14746,0.72817,5.75867
24,1,2.5,0.964369,1.62563,2.80261,1.65932,24.3199,2.2494,1.76906,1.08277,12.2021
25,1,2.5,23.6699,0.723446,1.43131,2.96997,2.37396,1.99969,14.6891,3.69655,3.80577
26,1,2.5,1.0383,1.55591,0.814569,17.6993,7.50315,0.988516,2.93314,2.88148,0.714272
27,1,2.5,2.2281,4.84291,3.63206,8.20141,3.6311,4.51408,0.765042,1.40421,2.10116
28,1,2.5,0.619464,2.14999,6.34762,1.01687,5.79124,1.08285,2.10697,0.93976,0.773236
base,1,2.5,1.85868,1.61527,1.70629,3.0586,2.73367,2.66011,2.50892,2.3316,2.47634
